"Line","Speaker","Text","Date"
30,"Trump","She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can't do what you're looking to do with $20 trillion in debt. The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it. He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone. And, Hillary, I'd just ask you this. You've been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you've been doing it, and now you're just starting to think of solutions.","9/26/16"
31,"Clinton","Well, actually...","9/26/16"
32,"Trump","I will bring -- excuse me. I will bring back jobs. You can't bring back jobs.","9/26/16"
33,"Clinton","Well, actually, I have thought about this quite a bit.","9/26/16"
34,"Trump","Yeah, for 30 years.","9/26/16"
35,"Clinton","And I have -- well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again...","9/26/16"
36,"Trump","Well, he approved NAFTA...","9/26/16"
37,"CANDIDATES","(CROSSTALK)","9/26/16"
38,"Clinton","... million new jobs, a balanced budget...","9/26/16"
39,"Trump","He approved NAFTA, which is the single worst trade deal ever approved in this country.","9/26/16"
40,"Clinton","Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let's not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I've said what I'm going to do. I'm going to have a special prosecutor. We're going to enforce the trade deals we have, and we're going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.","9/26/16"
41,"Holt","Very quickly...","9/26/16"
42,"Trump","But you haven't done it in 30 years or 26 years or any number you want to...","9/26/16"
43,"Clinton","Well, I've been a senator, Donald...","9/26/16"
44,"Trump","You haven't done it. You haven't done it.","9/26/16"
45,"Clinton","And I have been a secretary of state...","9/26/16"
46,"Trump","Excuse me.","9/26/16"
47,"Clinton","And I have done a lot...","9/26/16"
48,"Trump","Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.","9/26/16"
49,"Clinton","Well, that's your opinion. That is your opinion.","9/26/16"
50,"Trump","You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can't win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.","9/26/16"
51,"Clinton","Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in...","9/26/16"
52,"Trump","You called it the gold standard.","9/26/16"
53,"CANDIDATES","(CROSSTALK)","9/26/16"
54,"Trump","You called it the gold standard of trade deals. You said it's the finest deal you've ever seen.","9/26/16"
55,"Clinton","No.","9/26/16"
56,"Trump","And then you heard what I said about it, and all of a sudden you were against it.","9/26/16"
57,"Clinton","Well, Donald, I know you live in your own reality, but that is not the facts. The facts are -- I did say I hoped it would be a good deal, but when it was negotiated...","9/26/16"
58,"Trump","Not.","9/26/16"
59,"Clinton","... which I was not responsible for, I concluded it wasn't. I wrote about that in my book...","9/26/16"
60,"Trump","So is it President Obama's fault?","9/26/16"
61,"Clinton","... before you even announced.","9/26/16"
62,"Trump","Is it President Obama's fault?","9/26/16"
63,"Clinton","Look, there are differences...","9/26/16"
64,"Trump","Secretary, is it President Obama's fault?","9/26/16"
65,"Clinton","There are...","9/26/16"
66,"Trump","Because he's pushing it.","9/26/16"
67,"Clinton","There are different views about what's good for our country, our economy, and our leadership in the world. And I think it's important to look at what we need to do to get the economy going again. That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.","9/26/16"
68,"Trump","But you have no plan.","9/26/16"
69,"Clinton","But in -- oh, but I do.","9/26/16"
70,"Trump","Secretary, you have no plan.","9/26/16"
71,"Clinton","In fact, I have written a book about it. It's called ""Stronger Together."" You can pick it up tomorrow at a bookstore...","9/26/16"
72,"Trump","That's about all you've...","9/26/16"
73,"CANDIDATES","(CROSSTALK)","9/26/16"
74,"Holt","Folks, we're going to...","9/26/16"
75,"Clinton","... or at an airport near you.","9/26/16"
76,"Holt","We're going to move to...","9/26/16"
77,"Clinton","But it's because I see this -- we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.","9/26/16"
78,"Trump","You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around -- Lester, I tell you this, I've been all over. And when I go around, despite the tax cut, the thing -- the things that business as in people like the most is the fact that I'm cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I'm going to cut regulations. I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.","9/26/16"
79,"Holt","Let me get you to pause right there, because we're going to move into -- we're going to move into the next segment. We're going to talk taxes...","9/26/16"
80,"Clinton","That can't -- that can't be left to stand.","9/26/16"
81,"Holt","Please just take 30 seconds and then we're going to go on.","9/26/16"
82,"Clinton","I kind of assumed that there would be a lot of these charges and claims, and so...","9/26/16"
83,"Trump","Facts.","9/26/16"
84,"Clinton","So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed...","9/26/16"
85,"Trump","And take a look at mine, also, and you'll see.","9/26/16"
86,"Clinton","... would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it's time that the wealthy and corporations paid their fair share to support this country.","9/26/16"
87,"Holt","Well, you just opened the next segment.","9/26/16"
88,"Trump","Well, could I just finish -- I think I...","9/26/16"
89,"CANDIDATES","(CROSSTALK)","9/26/16"
90,"Holt","I'm going to give you a chance right here...","9/26/16"
91,"Trump","I think I should -- you go to her website, and you take a look at her website.","9/26/16"
92,"Holt","... with a new 15-minute segment...","9/26/16"
93,"Trump","She's going to raise taxes $1.3 trillion.","9/26/16"
94,"Holt","Mr. Trump, I'm going to...","9/26/16"
95,"Trump","And look at her website. You know what? It's no difference than this. She's telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don't think General Douglas MacArthur would like that too much.","9/26/16"
96,"Holt","The next segment, we're continuing...","9/26/16"
97,"Clinton","Well, at least I have a plan to fight ISIS.","9/26/16"
98,"Holt","... achieving prosperity...","9/26/16"
99,"Trump","No, no, you're telling the enemy everything you want to do.","9/26/16"
100,"Clinton","No, we're not. No, we're not.","9/26/16"
101,"Trump","See, you're telling the enemy everything you want to do. No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.","9/26/16"
102,"Clinton","That's a -- that's -- go to the -- please, fact checkers, get to work.","9/26/16"
103,"Holt","OK, you are unpacking a lot here. And we're still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you're calling for a tax increase on the wealthiest Americans. I'd like you to further defend that. And, Mr. Trump, you're calling for tax cuts for the wealthy. I'd like you to defend that. And this next two-minute answer goes to you, Mr. Trump.","9/26/16"
104,"Trump","Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs. They're going to expand their companies. They're going to do a tremendous job. I'm getting rid of the carried interest provision. And if you really look, it's not a tax -- it's really not a great thing for the wealthy. It's a great thing for the middle class. It's a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what -- is so bad. So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can't work out a deal to -- and everybody agrees it should be brought back. Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together. Because we have -- we have a president that can't sit them around a table and get them to approve something. And here's the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it's double that. It's probably $5 trillion that we can't bring into our country, Lester. And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.","9/26/16"
105,"Holt","All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.","9/26/16"
106,"Clinton","I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.","9/26/16"
107,"Trump","Why not?","9/26/16"
108,"Clinton","Why not? Yeah, why not?","9/26/16"
109,"Audience","(LAUGHTER)","9/26/16"
110,"Clinton","You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case...","9/26/16"
111,"Trump","There's nothing crazy about not letting our companies bring their money back into their country.","9/26/16"
112,"Holt","This is -- this is Secretary Clinton's two minutes, please.","9/26/16"
113,"Trump","Yes.","9/26/16"
114,"Clinton","Yeah, well, let's start the clock again, Lester. We've looked at your tax proposals. I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas. I happen to support that.","9/26/16"
115,"Trump","Then you didn't read it.","9/26/16"
116,"Clinton","I happen to -- I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You've proposed an approach that has a...","9/26/16"
117,"Trump","Who gave it that name? The first I've -- who gave it that name?","9/26/16"
118,"CANDIDATES","(CROSSTALK)","9/26/16"
119,"Holt","Mr. Trump, this is Secretary Clinton's two minutes.","9/26/16"
120,"Clinton","... $4 billion tax benefit for your family. And when you look at what you are proposing...","9/26/16"
121,"Trump","How much? How much for my family?","9/26/16"
122,"Clinton","... it is...","9/26/16"
123,"Trump","Lester, how much?","9/26/16"
124,"Clinton","... as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn't worked. And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.","9/26/16"
125,"Clinton","I don't think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their -- their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.","9/26/16"
126,"Holt","Mr. Trump, we're...","9/26/16"
127,"Trump","Typical politician. All talk, no action. Sounds good, doesn't work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on. Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We're in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down. We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that's doing political things. This Janet Yellen of the Fed. The Fed is doing political -- by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.","9/26/16"
128,"Holt","Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to -- who he owes it to and any business conflicts. Don't Americans have a right to know if there are any conflicts of interest?","9/26/16"
129,"Trump","I don't mind releasing -- I'm under a routine audit. And it'll be released. And -- as soon as the audit's finished, it will be released. But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income -- in fact, the income -- I just looked today -- the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised. But that's the kind of thinking that our country needs. When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody -- Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who's negotiating these trade deals? We have people that are political hacks negotiating our trade deals.","9/26/16"
130,"Holt","The IRS says an audit...","9/26/16"
131,"Trump","Excuse me.","9/26/16"
132,"Holt","... of your taxes -- you're perfectly free to release your taxes during an audit. And so the question, does the public's right to know outweigh your personal...","9/26/16"
133,"Trump","Well, I told you, I will release them as soon as the audit. Look, I've been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year. And in a way, I should be complaining. I'm not even complaining. I don't mind it. It's almost become a way of life. I get audited by the IRS. But other people don't. I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns -- against my lawyer's wishes -- when she releases her 33,000 e-mails that have been deleted. As soon as she releases them, I will release.","9/26/16"
134,"Audience","(APPLAUSE)","9/26/16"
135,"Trump","I will release my tax returns. And that's against -- my lawyers, they say, ""Don't do it."" I will tell you this. No -- in fact, watching shows, they're reading the papers. Almost every lawyer says, you don't release your returns until the audit's complete. When the audit's complete, I'll do it. But I would go against them if she releases her e-mails.","9/26/16"
136,"Holt","So it's negotiable?","9/26/16"
137,"Trump","It's not negotiable, no. Let her release the e-mails. Why did she delete 33,000...","9/26/16"
138,"Holt","Well, I'll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?","9/26/16"
139,"Clinton","Well, I think you've seen another example of bait-and- switch here. For 40 years, everyone running for president has released their tax returns. You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it. We know the IRS has made clear there is no prohibition on releasing it when you're under audit. So you've got to ask yourself, why won't he release his tax returns? And I think there may be a couple of reasons. First, maybe he's not as rich as he says he is. Second, maybe he's not as charitable as he claims to be.","9/26/16"
140,"Clinton","Third, we don't know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks. Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes, because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax.","9/26/16"
141,"Trump","That makes me smart.","9/26/16"
142,"Clinton","So if he's paid zero, that means zero for troops, zero for vets, zero for schools or health. And I think probably he's not all that enthusiastic about having the rest of our country see what the real reasons are, because it must be something really important, even terrible, that he's trying to hide. And the financial disclosure statements, they don't give you the tax rate. They don't give you all the details that tax returns would. And it just seems to me that this is something that the American people deserve to see. And I have no reason to believe that he's ever going to release his tax returns, because there's something he's hiding. And we'll guess. We'll keep guessing at what it might be that he's hiding. But I think the question is, were he ever to get near the White House, what would be those conflicts? Who does he owe money to? Well, he owes you the answers to that, and he should provide them.","9/26/16"
143,"Holt","He also -- he also raised the issue of your e-mails. Do you want to respond to that?","9/26/16"
144,"Clinton","I do. You know, I made a mistake using a private e- mail. TRUMP:","9/26/16"
145,"Clinton","And if I had to do it over again, I would, obviously, do it differently. But I'm not going to make any excuses. It was a mistake, and I take responsibility for that.","9/26/16"
146,"Holt","Mr. Trump?","9/26/16"
147,"Trump","That was more than a mistake. That was done purposely. OK? That was not a mistake. That was done purposely. When you have your staff taking the Fifth Amendment, taking the Fifth so they're not prosecuted, when you have the man that set up the illegal server taking the Fifth, I think it's disgraceful. And believe me, this country thinks it's -- really thinks it's disgraceful, also. As far as my tax returns, you don't learn that much from tax returns. That I can tell you. You learn a lot from financial disclosure. And you should go down and take a look at that. The other thing, I'm extremely underleveraged. The report that said $650 -- which, by the way, a lot of friends of mine that know my business say, boy, that's really not a lot of money. It's not a lot of money relative to what I had. The buildings that were in question, they said in the same report, which was -- actually, it wasn't even a bad story, to be honest with you, but the buildings are worth $3.9 billion. And the $650 isn't even on that. But it's not $650. It's much less than that. But I could give you a list of banks, I would -- if that would help you, I would give you a list of banks. These are very fine institutions, very fine banks. I could do that very quickly. I am very underleveraged. I have a great company. I have a tremendous income. And the reason I say that is not in a braggadocios way. It's because it's about time that this country had somebody running it that has an idea about money. When we have $20 trillion in debt, and our country's a mess, you know, it's one thing to have $20 trillion in debt and our roads are good and our bridges are good and everything's in great shape, our airports. Our airports are like from a third world country. You land at LaGuardia, you land at Kennedy, you land at LAX, you land at Newark, and you come in from Dubai and Qatar and you see these incredible -- you come in from China, you see these incredible airports, and you land -- we've become a third world country. So the worst of all things has happened. We owe $20 trillion, and we're a mess. We haven't even started. And we've spent $6 trillion in the Middle East, according to a report that I just saw. Whether it's 6 or 5, but it looks like it's 6, $6 trillion in the Middle East, we could have rebuilt our country twice. And it's really a shame. And it's politicians like Secretary Clinton that have caused this problem. Our country has tremendous problems. We're a debtor nation. We're a serious debtor nation. And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals. And we don't have the money, because it's been squandered on so many of your ideas.","9/26/16"
148,"Holt","We'll let you respond and we'll move on to the next segment.","9/26/16"
149,"Clinton","And maybe because you haven't paid any federal income tax for a lot of years. And the other thing I think is important��_","9/26/16"
150,"Audience","(APPLAUSE)","9/26/16"
151,"Trump","It would be squandered, too, believe me.","9/26/16"
152,"Clinton","... is if your -- if your main claim to be president of the United States is your business, then I think we should talk about that. You know, your campaign manager said that you built a lot of businesses on the backs of little guys. And, indeed, I have met a lot of the people who were stiffed by you and your businesses, Donald. I've met dishwashers, painters, architects, glass installers, marble installers, drapery installers, like my dad was, who you refused to pay when they finished the work that you asked them to do. We have an architect in the audience who designed one of your clubhouses at one of your golf courses. It's a beautiful facility. It immediately was put to use. And you wouldn't pay what the man needed to be paid, what he was charging you to do...","9/26/16"
153,"Trump","Maybe he didn't do a good job and I was unsatisfied with his work...","9/26/16"
154,"Clinton","Well, to...","9/26/16"
155,"Trump","Which our country should do, too.","9/26/16"
